Name des Verkäufers;Gewählte Automodell;PS;Autofarbe;Raeder;Reifentyp;Scheinwerfer;Mit Panorama-Schiebedach;Mit einem wärmedämmend dunkel getöntes Glas;Polster;Mit Sitzheizung;Mit Sitzklimatisierung;Lenkradfarbe;Mit Lenkradheizung;Mit einer Ambientebeleuchtung;Mit einem Fußmatten;Innenhimmelfarbe;Mit digitalen Tacho;Mit einem Premium-Navigationssystem;Mit einem Feuerlöscher;Mit einem Keyless-Go;Der Endpreis ist;Rabatt durch einen Code;Rabatt durch PLZ;Bestellung-Datum
Sara;DBW SLR;258;Grau;43.2 - 5-Speichen-Design;Winterreifen;Digital Light;True;True;Ledernachbildung schwarz;False;True;Grau;True;True;True;Innenhimmel Kristall grau;True;True;True;True;106353;False;False;2024-09-08
Ali;DBW SLR;258;Grau;43.2 - 5-Speichen-Design;Sommerreifen;LED High Perfomance-Scheinwerfer;True;True;Ledernachbildung schwarz;False;True;Schwarz;False;False;False;Innenhimmel Kristall grau;True;True;False;True;104030;False;False;2024-09-08
Sevda;DBW SLR;258;Grau;43.2 - 5-Speichen-Design;Sommerreifen;LED High Perfomance-Scheinwerfer;True;True;Ledernachbildung schwarz;False;True;Schwarz;False;False;False;Innenhimmel Kristall grau;True;True;False;True;104030;False;False;2024-09-08
Sara;DBW SLR;258;Grau;43.2 - 5-Speichen-Design;Sommerreifen;LED High Perfomance-Scheinwerfer;True;True;Ledernachbildung schwarz;False;True;Schwarz;False;False;False;Innenhimmel Kristall grau;True;True;False;True;104030;False;False;2024-09-08
Fatima;DBW SLR;258;Grau;43.2 - 5-Speichen-Design;Winterreifen;Digital Light;True;True;Ledernachbildung schwarz;False;True;Grau;True;True;True;Innenhimmel Kristall grau;True;True;True;True;106353;False;False;2024-09-08
Reem;SY C-Klasse;170;Schwarz;43.2 - 5-Speichen-Design;Sommerreifen;LED High Perfomance-Scheinwerfer;True;True;Ledernachbildung schwarz;False;True;Grau;True;True;True;Innenhimmel Kristall grau;True;True;True;True;51963;False;False;2024-09-08
Alaa;FW E-Klasse;313;Weiss;43.2 - 5-Speichen-Design;Sommerreifen;Digital Light;False;True;Ledernachbildung schwarz;True;False;Grau;False;True;False;Innenhimmel Kristall grau;False;False;True;False;89503;False;False;2024-09-08
Alaa;FW E-Klasse;313;Weiss;43.2 - 5-Speichen-Design;Sommerreifen;Digital Light;False;True;Ledernachbildung schwarz;True;False;Grau;False;True;False;Innenhimmel Kristall grau;False;False;True;False;99503;False;False;2024-09-08
Alaa;FW E-Klasse;313;Weiss;43.2 - 5-Speichen-Design;Sommerreifen;Digital Light;False;True;Ledernachbildung schwarz;True;False;Grau;False;True;False;Innenhimmel Kristall grau;False;False;True;False;79503;False;False;2024-09-08
Alaa;FW E-Klasse;313;Weiss;43.2 - 5-Speichen-Design;Sommerreifen;Digital Light;False;True;Ledernachbildung schwarz;True;False;Grau;False;True;False;Innenhimmel Kristall grau;False;False;True;False;73503;False;False;2024-09-08
Alaa;FW E-Klasse;313;Weiss;43.2 - 5-Speichen-Design;Sommerreifen;Digital Light;False;True;Ledernachbildung schwarz;True;False;Grau;False;True;False;Innenhimmel Kristall grau;False;False;True;False;80503;False;False;2024-09-08
Assma;FW E-Klasse;313;Weiss;45.7 - 5-Doppelspeichen-Design;Sommerreifen;Digital Light;False;False;Ledernachbildung schwarz;False;True;Grau;True;True;True;Innenhimmel Kristall grau;False;False;False;True;89467;True;False;2024-09-08
gh;FW E-Klasse;313;Weiss;45.7 - 5-Doppelspeichen-Design;Winterreifen;Digital Light;True;True;Ledernachbildung schwarz;False;True;Grau;True;True;True;Innenhimmel Kristall grau;True;True;True;True;94407;False;False;2024-09-09
rt;DBW SLR;258;Grau;43.2 - 5-Speichen-Design;Winterreifen;Digital Light;True;True;Ledernachbildung schwarz;False;True;Grau;True;True;True;Innenhimmel Kristall grau;True;True;True;True;106353;False;False;2024-09-09
Yassmin;FW E-Klasse;313;Weiss;43.2 - 5-Speichen-Design;Winterreifen;Digital Light;True;True;Ledernachbildung schwarz;False;True;Grau;True;False;True;Innenhimmel Kristall grau;True;True;True;True;89420;True;True;2024-09-20
Ahmad;DBW SLR;258;Grau;43.2 - 5-Speichen-Design;Winterreifen;Digital Light;True;True;Ledernachbildung schwarz;False;True;Grau;True;True;True;Innenhimmel Kristall grau;True;True;True;True;106353;False;False;2024-09-21
Fatima;FW E-Klasse;313;Weiss;43.2 - 5-Speichen-Design;Sommerreifen;Digital Light;False;True;Ledernachbildung schwarz;True;False;Grau;False;True;False;Innenhimmel Kristall grau;False;False;True;False;73503;False;False;2024-09-21
Ahmad;DBW SLR;258;Grau;43.2 - 5-Speichen-Design;Winterreifen;Digital Light;True;True;Ledernachbildung schwarz;False;True;Grau;True;True;True;Innenhimmel Kristall grau;True;True;True;True;106353;False;False;2024-09-21
Ahmad;DBW SLR;258;Grau;43.2 - 5-Speichen-Design;Winterreifen;Digital Light;True;True;Ledernachbildung schwarz;False;True;Grau;True;True;True;Innenhimmel Kristall grau;True;True;True;True;106353;False;False;2024-09-21
